id,age,gender,country,multilingual,aut.originality.1,aut.originality.2,aut.originality,dat,problems.questions.1,problems.questions.2,problems.questions,problems.cra,problems.combined,word.1,word.2,word.3,word.4,word.5,word.6,word.7,word.8,word.9,word.10
R_2txUqpy6GsSUbXB,65,Female,Australia,FALSE,1.5,0,0.75,81.7846104325283,1,1,1,2,3,chair,floor,cloud,iceberg,bear,automobile,grapefruit,cylinder,shoe,ticket
R_3sgfMCd9ms8sVVv,35,Female,Australia,TRUE,1,0,0.5,82.9339297443983,1,1,1,2,3,car,ant,wood,board,custard,ball,magazine,tin,water,peg
R_AmtLwl0QfQW1qWl,35,Female,Australia,TRUE,1,1.5,1.25,77.6154726034119,0,0,0,1,1,Snow,Tempel ,Mat ,Horse ,Computer ,Leg ,Card ,Telephone ,Desk ,Carrot 
R_2pJBxdZJg0cAcPd,35,Male,New Zealand,TRUE,1,1,1,82.038091229541,2,2,2,2,4,Basket ,Flower,Tiger,Screwdriver ,Ant,Gravity,Video,Restaurant ,Thermos,Walking stick
R_1MLT9FhIQd25lUB,55,Female,Australia,FALSE,2,1,1.5,81.7316793703607,0,0,0,2,2,House,Car,Hats,Soap,Kettle,Television,Nightie , Book,Pram,Door
R_3Gjo0YgJ5oyxOcm,35,Female,Australia,TRUE,0,2,1,86.7459399736531,2,2,2,1,3,Cockroach ,Parcel,Poo,Fear,Orange,Dildo,Cardboard box,Osteoporosis ,Gormet buffet tray,Earwax
R_1itzYGLhUayIJle,55,Female,Australia,FALSE,0.5,0,0.25,91.5426591311448,1,1,1,2,3,Algorithm,Cavern,Kohlrabi,Armadillo,Concept,Drill,Palette,Glacier,Tulip,Jacket
R_cv7G8Kk5GtbXqUN,55,Female,Australia,FALSE,0.5,0,0.25,77.519061877614,1,1,1,2,3,Apple,Steering wheel,Dog,Beach,Art gallery,Computer,Hibiscus flower,Fence,Cloud,Volcano
R_1nYYMH2d8mDaPca,55,Female,Australia,FALSE,0,0,0,74.3755410824503,1,1,1,0,1,Bed,Moon,Window,Bird,Job,Feelings,Wind,Surgery ,Life,Energy
R_2YeTH6w2QxL2VwO,35,Female,Australia,FALSE,0,0,0,84.8125599407857,1,2,1,0,1,Bough,Sole,Spatula,Bobby pin ,Terrazzo ,Mint,Pebble,Tyre,Petal,Face
R_1IbDhcbfokfM7JQ,35,Male,Australia,FALSE,2,0,1,76.7790086922191,1,1,1,1,2,Car,Fish,Wind,Tree,Wire,Needle,Tar,Boat,Seat,Shadow
R_1HqtWxaQb9Lt94k,70,Female,Australia,FALSE,2.5,2.5,2.5,84.3454593293635,0,0,0,2,2,Dog,Lightbulb,Hoe,Generator,Roof,Pen,Index card,Footpath,Idea,Heart
R_24N2NJ0dB9EnG3m,65,Female,New Zealand,FALSE,0,0.5,0.25,80.7254813256718,2,2,2,2,4,Cup,Feather,Stone,Car,Cloud,River,Book,Happiness,Sandwich,Chair
R_4O3VP8FBucO0YfL,35,Female,Australia,FALSE,1,1,1,75.5964462068819,1,1,1,0,1,dog,cat,fish,television,carport,bucket,fire,lawn,bandage,felt
R_sEWTZElpqRQJboJ,55,Female,Australia,FALSE,0,0,0,74.3172476689021,2,2,2,2,4,Cat,Shoe,Cloud,Chair,Bird,Computer,Towel,Window,Forest,Song
R_1Fg3MP1comBjJSg,35,Male,Australia,FALSE,3,3,3,87.2124964637416,1,1,1,1,2,Mathematics,Astrology,Football,Dogs,Mountian,Space Station,Politician,Chandelier,Holiday,Crown
R_3pi0KFl9bHcytHv,55,Male,Australia,FALSE,0,0,0,85.4806915635154,1,1,1,1,2,rabbit,planet,speck,logic,homeopathy,twenty-four,easy,song,dream,button
R_2qkEmwOxiuDxYxW,35,Female,Australia,TRUE,2,1,1.5,75.1003527570338,2,2,2,2,4,Cup,Dog,Wind,Beach,Car,Pen,Farm,Planet,Grass,Hair
R_2VgLrd1SFV6XpkB,65,Male,Australia,FALSE,1.5,1.5,1.5,85.8273122991834,2,2,2,0,2,truth,swing,apple,rocket,dungeon,alphabet,film,dog,calamity,ridge
R_yDuYJYfazlr0oG5,55,Female,Australia,FALSE,2,1.5,1.75,83.8406074082568,1,1,1,0,1,Spoon, rock, aeroplane, jelly, earwig, ball, jump,Rock,Aeorplane,Jelly
R_3lKar4jV5sU6r8K,70,Male,United States of America,FALSE,1,1,1,68.4018184386548,2,2,2,0,2,chalk,cheese,night,day,peace,posability,might,right,good,bad
R_1cXJFgu3Vn8Ah7u,35,Female,New Zealand,FALSE,0,0,0,78.5464828213056,1,1,1,1,2,ball,aeroplane,mince,mountain,fish,water,brain,stereo,car,people
R_1mCRSc5X4gyosGG,35,Female,Australia,FALSE,0,0.5,0.25,70.2771772231374,2,2,2,2,4,mountain,valley,snow,beach,surf,drought,candle,solar,moon,cake
R_0illkd0Ttscu2WZ,55,Male,Australia,FALSE,1.5,1,1.25,90.7944558368486,2,2,2,1,3,Joy,Thumb,Hovel,Fossick,Lava,Germinate,Electricity,Meaning,Blue,Council
R_1rOlpxItkHqjNMH,65,Male,Australia,FALSE,1,0,0.5,70.0758775075277,0,0,0,1,1,person,tree,rock,hill,sea,flower,food,tool,car,grass
R_9YTXsz3I9gIn3Bn,65,Female,Australia,TRUE,0.5,0,0.25,82.3243914022377,2,2,2,1,3,Flight,Sunlight,Awareness,Seam,Tooth,Horizon,Radio ,Shadow,Photosynthesis,Mousetrap
R_1EhSLJjywpKdFKr,55,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,1,1.5,1.25,87.3850971393819,1,2,1,1,2,transaction,pencil,buggy,skirt,paperweight,mirror,tradition,bully,trapeze,bulldozer
R_ufvewz3pY5WGV5n,55,Male,Australia,FALSE,3,1.5,2.25,79.8442801638019,2,2,2,0,2,fork,television,grass,ocean,moon,car,poison,dog,jumper,steps
R_1F5pEC0qiFZafkd,55,Male,Australia,FALSE,0.5,1,0.75,88.4135084767227,1,1,1,2,3,Zero,Infinity,Flavour,Serendipity,Ashphalt,the Moon,Insect,Funerals,Newspaper,Light
R_2yjaVenk8HWsGuV,70,Male,Australia,FALSE,1,1,1,71.7034141222636,2,2,2,0,2,House,Aeroplane,Bridge,Mountain,Air,Water,Vacuum,Shoe,Coin,Ghost
R_1DYJmUMM6277WwY,35,Male,Austria,TRUE,1.5,2,1.75,84.477014879563,2,2,2,1,3,bean,rocket,crystal,note,cable,book,lava,concept,protron,whisp
R_2Ec7FuU2C5JUBeG,55,Male,Australia,FALSE,1.5,1.5,1.5,87.4944994048703,2,2,2,2,4,caravan,fish,bitumen,solar,arctic,spanner,ligament,toothpaste,sprint,dart
R_22KQdJKYaZA0h3J,35,Male,Australia,TRUE,1,1,1,79.7662999658358,1,1,1,1,2,cat,brick,rain,cable,tree,flag,tooth paste,key,photograph,atom
R_2Bm8XmByqLoYTmt,26,Male,New Zealand,TRUE,0,0,0,81.9439125202951,0,0,0,1,1,water,atom,moon,pants,tech,chair,live,motorbike,poly,blind
R_2QmOrwVHtLBRJTg,65,Female,Australia,FALSE,0,0,0,78.3001656333605,1,1,1,0,1,Ant,Paperplane,Grass,River,Cloud,Love,Wine,Biscuit,Zebra,Egg
R_3qg0ce3dBovO21D,55,Female,Australia,FALSE,1,1.5,1.25,80.3662623234448,0,0,0,0,0,People,Capitalism,Apple,Fairy,TV,Magic,Sandcastles,Mountain,Card,Sleep
R_SBKb8NaxaPWQ4I9,35,Male,Australia,FALSE,1.5,1.5,1.5,83.1222153446149,1,1,1,2,3,Peanut,Compass,Syringe,Gun,Telescope,Computer,Kangaroo,Trampoline,Ice skates,Book
R_2fqtrZCYu6BsnhC,35,Female,Australia,FALSE,0,0.5,0.25,80.2666458877779,2,2,2,1,3,Floorboard,Cotton wool,Apple,Monkey,Car keys,Bath,Umbrella,Paper bag,Fence,Light
R_9HpfhbRXm6szwwV,55,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,0,0,0,71.3858513605027,1,1,1,1,2,dog,mountain,planet,ocean,person,food,sperm,whale,fog,heart
R_3JqHYUlNw8srlVs,55,Male,Zambia,FALSE,1,1,1,74.1027376126675,1,1,1,1,2,Car,Horse,House,Flower,Donut,Hair,Tool,Rain,Chair,Windows 
R_1LwcNk50yHd3s6R,55,Male,United States of America,FALSE,2,1.5,1.75,78.5224636750562,2,2,2,1,3,refrigerator,candle,rock,fish,shoe,nose,photo,modem,pot,love
R_1P7rYuSTAESCD87,55,Female,Hong Kong (S.A.R.),TRUE,2,2.5,2.25,89.0164004550094,1,1,1,1,2,fur,bowl,mango,joint,paper,doona,bus,tripod,deer,crystal
R_z2PGb0Bo9B7rsA1,65,Female,Australia,FALSE,2,1.5,1.75,84.1947676347835,2,1,1,0,1,bucket,trombone,spectacles,shoe,clock,duster,frypan,blender,hairbrush,pen
R_1n8U011tgjXLfLb,35,Male,Australia,FALSE,1.5,1.5,1.5,71.9326337178548,1,1,1,1,2,spoon,tree,dog,child,car,plane,bike,road,bus,sky
R_2CvMMEbyBbSnG2I,26,Male,Australia,TRUE,1.5,1.5,1.5,69.1195375152997,0,0,0,0,0,toast,foot,chair,table,bread,hand,mouse,screen,speaker,key
R_2fg2WQfzQpgYihj,65,Female,Australia,FALSE,4,1.5,2.75,81.9624388146968,1,1,1,2,3,water,house,shoes,golf bag,carpet,tissue,mountain,paperclip,chicken,roller coaster
R_5AvGHFoMxdJzlE5,13,Female,Australia,FALSE,1.5,3,2.25,93.1284225495931,1,1,1,2,3,Laminate,Crumpet,Hoon,Porcelain,Azerbaijan,Laptop,Romance,Squiggle,Racing,Pink
R_08SQvJ1ijkSrxS1,26,Male,Australia,FALSE,1.5,1.5,1.5,83.1838617866327,1,2,1,2,3,Truck,Computer,Tenderness,Belief,Creation,Blue,Magnet,Marble,Characteristic,Population
R_30wLRst0Ra5awqR,35,Female,Australia,FALSE,0.5,0,0.25,80.9195608432804,2,2,2,2,4,Rainbow,Eagle,Plank,Soil,Hair,Beetle,Newspaper,Foil,Technology,Gumshoe
R_2AZ6sb0Sg6WgziA,70,Male,Australia,FALSE,0,0,0,88.8748797809794,0,0,0,1,1,room,silo,wombat,telescope,pencil,bandana,dictionary,zootrope,callus,halfpenny
R_xrZvKnvBXqB1Tdn,26,Male,Australia,FALSE,3,1.5,2.25,77.8291299052182,2,2,2,2,4,Toothbrush ,Boat,Sun,Microscope ,The aurora,Salt,Fog,Pebble,Bench,Lightning
R_3RwmRZmduj9bEMr,65,Male,Australia,TRUE,3,3,3,81.8163182054247,1,0,0,1,1,milk,dog,air,planet,stove,rock,singlet,capsicum,crab,grass
R_Pth7ERVeIE7qy9b,13,Female,Australia,FALSE,1,1,1,58.7109956003371,0,0,0,1,1,water,fire,dark,light,dead,alive,burnt,frozen,cold,hot
R_DIb3MASVfkqCgZH,35,Male,Iran,TRUE,1.5,0,0.75,77.3934768424148,1,1,1,1,,Star,Pen,Carpet,Television ,Watch,Hat,Balcony ,Socks ,Car,Street
R_ysSuu44DqA8JBxT,55,Female,Australia,FALSE,1.5,1.5,1.5,60.5353690329052,1,1,1,2,3,Floor,Ceiling,Gutter,Roof,Garden,Concrete,Bread,Water,Tu-tu,Jeans
R_w0HecOF29Tc3dh7,55,Female,Australia,TRUE,1,1,1,77.235423063948,1,1,1,2,3,House,Cat,Raincoat,Car,Apple,Rose,Container,Orange juice,Ticket,Hair
R_2TH2V8OEca6m4bG,55,Male,Australia,FALSE,2.5,1,1.75,84.8271151627636,1,1,1,2,3,sausage,surgeon,pathway,sky,ostrich,pebble,house,seaside,pencil,car
R_2eQMRmnWxqoDZpq,35,Female,Australia,FALSE,1.5,2,1.75,76.1157542467117,0,0,0,1,1,apple,ice,television,carpet,grass,dog,trampoline,car,eagle,sausage
R_5hyztSyRV1xz6rD,35,Female,Australia,FALSE,2,1.5,1.75,83.4565331893308,2,1,1,0,1,Car,Staple,Cloud,Wheat,Sock,Flame,Arrow,Mountain ,Rip,Pupil
R_3fCQUHaXyhhMC8y,35,Male,Australia,FALSE,1,1,1,81.0586117740188,0,1,0,1,1,Poem,Vase,Aeroplane,Orange,Volcano,Ape,Desert,Coffee,Star,Omeba
R_2OW2zmPCaNRTPua,65,Female,Australia,TRUE,0,0,0,78.9873472991444,2,2,2,0,2,Train,Fish,Camera,Sox,Language ,Basketball ,Stick ,Robot,Restaurant ,Fence
R_1mKJ8Dw557vR4ZA,9,Male,Australia,FALSE,1,1,1,70.8391235697837,1,1,1,2,3,couch,rock,tree,sun,human,fell,feel,note ,food,dust
R_2EE6ZEaMJCjcZDO,65,Female,Netherlands,TRUE,0,0,0,68.1159596358027,1,1,1,2,3,chair,ceiling,tree,fire,water,air,rock,organism,heat,cold
R_39shPpOUYPu3WW5,65,NA,Australia,TRUE,1.5,1.5,1.5,56.7807811356726,1,1,1,0,1,grass,desert,ocean,sky,moon,sun,brick,mouse,teacup,book
R_1ONQjHyjJSBu9dd,55,Female,Australia,FALSE,1,1.5,1.25,81.7037926809419,2,1,1,1,2,clock,bicicle,frog,computer,soup,garden,planet,quilling,window,radio
R_3iDBfI557efPT17,55,Female,Hong Kong (S.A.R.),TRUE,0,0,0,74.937704205513,2,2,2,1,3,paper,table,book,dishes,mirror,medicine,ball,tissue,manequin,plant
R_27szhju0DKs25Ux,55,Female,Australia,FALSE,3,1.5,2.25,71.3633773937112,1,1,1,2,3,concrete,tree,house,cloud,dress,sea,lake,snow,river,monument
R_bCoFuCEYin3x7TH,65,Female,Australia,FALSE,2,1.5,1.75,89.5684414022114,2,2,2,0,2,spagetti,basket ball,shoe lace,submarine,dog,cushion,tyre,acrobat,spanner,crumb
R_32XeBdLv2TjjL8O,70,Male,Australia,FALSE,1.5,2.5,2,51.1093964888936,1,0,0,0,0,back ,forward,up,down,forward,back,around,down,fat,light
R_zd3zJIWOuD7eTRf,26,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,2.5,2.5,2.5,83.4220920112871,1,1,1,2,3,Elephant,Spoon,Motorbike,Tree,Microscope,Burger,Playstation,Air,Toenail,Magnetism
R_vdicjE0xSXpqp2x,65,Female,Netherlands,FALSE,0,0,0,74.5348405270349,1,1,1,1,2,shovel,pan,sand,water,crayon,computer,car,aeroplane,book,wool
R_b1NTAGa6TPA87IZ,55,Female,Australia,FALSE,1.5,1,1.25,82.28647329268,0,0,0,0,0,cat,lemontree,Tyre,carpet,clouds,artery,toilet,pencil,hamburger,coin
R_2BzDOuixCg7tuOD,65,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,1,1,1,83.1280929879064,1,1,1,2,3,cup,sky,worm,monolith,brain,rainbow,newspaper,waterfall,aeroplane,baby
R_2TNTph4QjF2T4J3,70,Female,United Kingdom of Great Britain and Northern Ireland,TRUE,1.5,1.5,1.5,77.696402903114,1,1,1,0,1,Soil,ICecream,Book,Hat,Carpet,Car,Tree,Sea,Shop,Line
R_3FXnwgvW4eDkMZg,70,Male,United Kingdom of Great Britain and Northern Ireland,FALSE,0.5,2.5,1.5,70.6780158338093,0,0,0,1,1,Garden,Street,Dog,Car,Painting,Radio,Bed,Refrigerator ,Bird ,Human
R_1eWtAbu0PosgNPc,70,Female,Australia,FALSE,0.5,0,0.25,73.5643854098661,0,0,0,2,2,Lampshade,Pillow,Suitcase,Pullover,Icepack,Cardigan,Paperweight,Whistle,Footstool,Paperbag
R_2q3iJttjA9Hi7ey,55,Male,Australia,FALSE,0,0,0,78.832495957613,1,1,1,2,3,cat,bus,green,rifle,spring,vacuum,ocean,computer,soldier,cave
R_WAP2ClLIEAaNA53,55,Male,United States of America,TRUE,1.5,1.5,1.5,86.8829646613449,0,0,0,1,1,Crustacean ,Dandelion ,Star,Water droplet,Vent,Tire,Mirror,Drum,Mountain,Jacks
R_3R8H1yrCuLtggrC,35,Female,Australia,FALSE,1.5,1,1.25,77.8198699156443,1,1,1,2,3,frog,ruler,house,plane,mat,bed,fork,house,dog,elephant
R_25XwwQCXXy3FpZV,35,Male,Australia,TRUE,1.5,1.5,1.5,86.2043165269175,2,2,2,1,3,thumb,antelope,razor,hairspray,virus,weevil,pin,leaf,breeze,resistor
R_2YLlzgH8pKxYBf2,55,Female,Australia,FALSE,0.5,0,0.25,77.2042639198757,2,2,2,0,2,Gate,Dog,Paper,Building,Water,Capsule,Rice,Bike,Space,Farm
R_2PjbtC8CZkeDlia,35,Female,Canada,FALSE,0,0.5,0.25,68.3508411759422,0,1,0,1,1,man,woman,dog,cat,sky,gold,rocket,didgeridoo,tent,painting
R_3IcXbC1idcpgtNx,26,Female,Australia,FALSE,2,0,1,78.3532231159154,1,1,1,1,2,Dog,Mountain,Meteor,Perfume,Truck,Garbage can,Snake,Moss,Strawberry,Bacteria
R_1lfXeLK85X1XKlj,35,Male,Australia,FALSE,1,1.5,1.25,74.8197888511987,2,2,2,1,3,Computer,Space,Microscope,Television,Music,Painting,Animal,Atoms,Sailboat,Electricity
